composite_gtfs_stops_id,next_composite_gtfs_stops_id,route,direction,mean_seconds_in_transit
710_G14,G13,E,N,100.28571428571429
710_G14,G13,F,N,102.16216216216216
710_G14,G13,M,N,125.7
710_G14,G13,R,N,126.61016949152543
710_G14,G15,E,S,90.0
710_G14,G15,F,S,90.0
710_G14,G15,M,S,90.0
710_G14,G15,R,S,90.0
710_G14,G21,E,S,388.1767955801105
711,710_G14,7,N,82.7372764786795
711,712,7,S,107.53782668500688
712,711,7,N,108.32187070151306
712,713,7,S,115.5433287482806
713,712,7,N,114.92434662998625
713,714,7,S,60.0
714,713,7,N,60.0
714,715,7,S,60.0
715,714,7,N,60.0
715,716,7,S,85.99724896836314
716,715,7,N,73.41127922971114
716,718_R09,7,S,175.41953232462174
718_R09,629_R11,N,S,294.5217391304348
718_R09,716,7,N,144.92434662998625
718_R09,719_F09_G22,7,S,90.78404401650619
718_R09,R08,N,N,147.2608695652174
719_F09_G22,630_F11,E,S,198.8780487804878
719_F09_G22,630_F11,M,S,203.1
719_F09_G22,718_R09,7,N,91.81568088033012
719_F09_G22,720,7,S,119.21595598349381
719_F09_G22,G21,E,N,116.63414634146342
719_F09_G22,G21,M,N,104.4
719_F09_G22,G24,G,S,60.0
720,719_F09_G22,7,N,118.18431911966988
720,721,7,S,59.215955983493814
721,631_723_901,7,S,289.43603851444294
